codigo;nombre;ubicacion;;
1;30-506 B;ARMARIO 4, PUERTA 4, LADO A, SUPERIOR IZQUIERDO;;
2;VW207 C;ARMARIO 4, PUERTA 4, LADO A, SUPERIOR IZQUIERDO;;
3;T50038;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
4;T10170 A;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
5;T10389;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
6;T40187;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
7;VW 511;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
8;3220;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
9;T40064;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
10;T50018;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
11;3456;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
12;T10260;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
13;T40175;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
14;T10209;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
15;3356;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
16;VW442;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
17;T10373;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
18;T10374;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
19;T10430 / 2;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
20;T40195;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
21;T10057;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
22;T40055;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
23;T10058 ;ARMARIO 4, PUERTA 4, LADO A, SUPERIOR DERECHO;;
24;3282 / 64;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
25;3221 / 1 A;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
26;T10185;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
28;VW510;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
29;T10100;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
30;3417  /  VAS 5505;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
32;40-105;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
33;3014;ARMARIO 4, PUERTA 1,  LADO A, SUPERIOR IZQUIERDO;;
34;3118;ARMARIO 4, PUERTA 1,  LADO A, SUPERIOR IZQUIERDO;;
35;VW455;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
36;T10171A;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
37;3176;ARMARIO 4, PUERTA 1,  LADO A, SUPERIOR DERECHO;;
38;T10208 / 3;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
39;T10415;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
40;T10184;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
41;T50037;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
42;40-21;ARMARIO 4, PUERTA 4,  LADO A, CENTRO IZQUIERDO;;
43;VW681;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR IZQUIERDO;;
44;T10165;ARMARIO 4, PUERTA 4,  LADO A, CENTRO  IZQUIERDO;;
45;T10264;ARMARIO 4, PUERTA 4,  LADO A, CENTRO IZQUIERDO;;
46;T40199;ARMARIO 4, PUERTA 4,  LADO A, CENTRO IZQUIERDO;;
47;VW418 A;ARMARIO 4, PUERTA 4,  LADO A, CENTRO IZQUIERDO;;
48;VW472 / 2;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
49;3409;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
50;T10259;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
51;T10180;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
52;T10265 / 2;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
53;2010;ARMARIO 4, PUERTA 1,  LADO A, CENTRO DERECHO;;
54;T10302;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
55;VAG1561 / 7 / 8;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
56;VAG1561 / 19;ARMARIO 4, PUERTA 4,  LADO A, CENTRO DERECHO;;
